"Timestamp";"age";"gender";"education";"living";"city";"income";"q2_1_waste";"q2_2_eco";"q2_3_energy";"q3_1_lamp";"q3_2_contribution";"q3_3_store";"q3_4_consumption";"q3_5_logic";"q4_1_friends";"q4_2_neighbors";"q4_3_opinion";"q5_1_barriers"
"11.03.2026 17:27";"18-22 года";"Мужской";"Высшее (бакалавриат)";"С партнером/партнершей (без детей)";"Город-миллионник (Новосибирск, Екатеринбург и т.д.)";"Можем позволить себе одежду, но не можем позволить себе дорогие товары";"Редко (несколько раз в год)";"Никогда";"Постоянно";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Не согласен/не согласна";"Нет, удобство важнее";"Стараюсь не покупать лишнее, предпочитаю многоразовые вещи, даже если они выглядят менее «модно»";"Я выбираю на основе логики и расчётов (даже если LED-лампочка дороже, я посчитаю экономию за годы)";"Почти никто (0–10%)";"Нейтрально / затрудняюсь ответить";"Нейтрально";"Нет инфраструктуры (баков для раздельного сбора в моем районе);Слишком дорого / нет денег"
"12.03.2026 7:22";"18-22 года";"Мужской";"Школа";"В большой семье (с родителями, бабушками/дедушками)";"Маленький город или село";"Можем позволить себе одежду, но не можем позволить себе дорогие товары";"Никогда";"Никогда";"Часто";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Согласен/согласна";"Нет, удобство важнее";"Покупаю новые вещи редко, но когда покупаю, выбираю качественные товары, которые долго служат";"Я выбираю на основе логики и расчётов (даже если LED-лампочка дороже, я посчитаю экономию за годы)";"Немного (10–30%)";"Нейтрально / затрудняюсь ответить";"Слабо важно";"Лень / нет времени / забываю"
"12.03.2026 8:46";"23-25 лет";"Женский";"Высшее (бакалавриат)";"С семьей (с детьми до 18 лет)";"Город-миллионник (Новосибирск, Екатеринбург и т.д.)";"Можем позволить себе одежду, но не можем позволить себе дорогие товары";"Часто (несколько раз в неделю)";"Часто";"Постоянно";"Опция А: Обычная лампочка за 50 рублей — она ярче, но потребляет больше электричества (~30 руб. в год на счетах)";"Не согласен/не согласна";"Может быть, если товары будут значительно дешевле";"Покупаю новые вещи редко, но когда покупаю, выбираю качественные товары, которые долго служат";"Я начинаю считать, но потом всё равно беру то, что привык(ла) покупать";"Почти никто (0–10%)";"Очень вероятно — если все делают, то и я начну";"Слабо важно";"Лень / нет времени / забываю"
"12.03.2026 17:46";"18-22 года";"Мужской";"Школа";"Один/одна";"Город среднего размера (100 000–1 млн человек)";"Хватает на еду, но не на одежду";"Никогда";"Никогда";"Иногда";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Не согласен/не согласна";"Да, если я буду часто ходить туда и мне понравится ассортимент";"Покупаю новые вещи редко, но когда покупаю, выбираю качественные товары, которые долго служат";"Я выбираю на основе логики и расчётов (даже если LED-лампочка дороже, я посчитаю экономию за годы)";"Почти никто (0–10%)";"Скорее да";"Не важно вообще — я выбираю только для себя";"Нет инфраструктуры (баков для раздельного сбора в моем районе);Слишком дорого / нет денег;Это неудобно / нужно искать специальные магазины"
"13.03.2026 22:30";"18-22 года";"Женский";"Высшее (бакалавриат)";"Один/одна";"Москва или Санкт-Петербург";"Живем комфортно, почти на все хватает";"Редко (несколько раз в год)";"Никогда";"Постоянно";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Не согласен/не согласна";"Да, если я буду часто ходить туда и мне понравится ассортимент";"Затрудняюсь ответить / зависит от ситуации";"Зависит от товара и ситуации";"Половина (30–50%)";"Очень вероятно — если все делают, то и я начну";"Нейтрально";"Нет инфраструктуры (баков для раздельного сбора в моем районе);Это неудобно / нужно искать специальные магазины"
"13.03.2026 22:52";"18-22 года";"Женский";"Школа";"С партнером/партнершей (без детей)";"Москва или Санкт-Петербург";"Живем комфортно, почти на все хватает";"Часто (несколько раз в неделю)";"Никогда";"Часто";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Не согласен/не согласна";"Да, если я буду часто ходить туда и мне понравится ассортимент";"Стараюсь не покупать лишнее, предпочитаю многоразовые вещи, даже если они выглядят менее «модно»";"Зависит от товара и ситуации";"Немного (10–30%)";"Очень вероятно — если все делают, то и я начну";"Слабо важно";"Нет инфраструктуры (баков для раздельного сбора в моем районе);Просто не думаю об этом"
"13.03.2026 22:53";"18-22 года";"Женский";"Высшее (бакалавриат)";"Один/одна";"Москва или Санкт-Петербург";"Живем комфортно, почти на все хватает";"Никогда";"Часто";"Редко";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Не согласен/не согласна";"Может быть, если товары будут значительно дешевле";"Покупаю новые вещи редко, но когда покупаю, выбираю качественные товары, которые долго служат";"Я выбираю на основе логики и расчётов (даже если LED-лампочка дороже, я посчитаю экономию за годы)";"Почти никто (0–10%)";"Очень вероятно — если все делают, то и я начну";"Не важно вообще — я выбираю только для себя";"Нет инфраструктуры (баков для раздельного сбора в моем районе);Это неудобно / нужно искать специальные магазины"
"13.03.2026 22:54";"18-22 года";"Мужской";"Школа";"С партнером/партнершей (без детей)";"Москва или Санкт-Петербург";"Живем комфортно, почти на все хватает";"Часто (несколько раз в неделю)";"Никогда";"Постоянно";"Опция А: Обычная лампочка за 50 рублей — она ярче, но потребляет больше электричества (~30 руб. в год на счетах)";"Не согласен/не согласна";"Да, если я буду часто ходить туда и мне понравится ассортимент";"Покупаю новые вещи/гаджеты довольно часто — они выглядят актуально и показывают мой статус";"Я выбираю интуитивно и быстро — нравится товар, куплю его, лишние расчёты — трата времени";"Половина (30–50%)";"Очень вероятно — если все делают, то и я начну";"Довольно важно";"Не верю, что это реально помогает"
"13.03.2026 22:55";"18-22 года";"Мужской";"Высшее (бакалавриат)";"В большой семье (с родителями, бабушками/дедушками)";"Москва или Санкт-Петербург";"Можем позволить себе одежду, но не можем позволить себе дорогие товары";"Иногда (несколько раз в месяц)";"Никогда";"Иногда";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Не согласен/не согласна";"Может быть, если товары будут значительно дешевле";"Затрудняюсь ответить / зависит от ситуации";"Зависит от товара и ситуации";"Почти никто (0–10%)";"Очень маловероятно — соседи на меня не влияют";"Нейтрально";"Нет инфраструктуры (баков для раздельного сбора в моем районе);Слишком дорого / нет денег;Лень / нет времени / забываю;Не верю, что это реально помогает;Это неудобно / нужно искать специальные магазины"
"13.03.2026 23:04";"26-28 лет";"Мужской";"Высшее (магистратура, аспирантура)";"С партнером/партнершей (без детей)";"Москва или Санкт-Петербург";"Можем позволить себе одежду, но не можем позволить себе дорогие товары";"Редко (несколько раз в год)";"Никогда";"Постоянно";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Не согласен/не согласна";"Нет, удобство важнее";"Стараюсь не покупать лишнее, предпочитаю многоразовые вещи, даже если они выглядят менее «модно»";"Я выбираю на основе логики и расчётов (даже если LED-лампочка дороже, я посчитаю экономию за годы)";"Почти никто (0–10%)";"Скорее да";"Не важно вообще — я выбираю только для себя";"Просто не думаю об этом"
"13.03.2026 23:18";"18-22 года";"Мужской";"Школа";"В большой семье (с родителями, бабушками/дедушками)";"Москва или Санкт-Петербург";"Живем комфортно, почти на все хватает";"Редко (несколько раз в год)";"Никогда";"Часто";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Не согласен/не согласна";"Может быть, если товары будут значительно дешевле";"Стараюсь не покупать лишнее, предпочитаю многоразовые вещи, даже если они выглядят менее «модно»";"Я выбираю на основе логики и расчётов (даже если LED-лампочка дороже, я посчитаю экономию за годы)";"Немного (10–30%)";"Скорее да";"Слабо важно";"Нет инфраструктуры (баков для раздельного сбора в моем районе);Лень / нет времени / забываю;Не верю, что это реально помогает"
"13.03.2026 23:20";"18-22 года";"Женский";"Высшее (бакалавриат)";"С партнером/партнершей (без детей)";"Москва или Санкт-Петербург";"Живем комфортно, почти на все хватает";"Никогда";"Иногда";"Часто";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Не согласен/не согласна";"Да, если я буду часто ходить туда и мне понравится ассортимент";"Покупаю новые вещи редко, но когда покупаю, выбираю качественные товары, которые долго служат";"Я выбираю на основе логики и расчётов (даже если LED-лампочка дороже, я посчитаю экономию за годы)";"Почти никто (0–10%)";"Нейтрально / затрудняюсь ответить";"Нейтрально";"Лень / нет времени / забываю;Просто не думаю об этом"
"13.03.2026 23:24";"29-35 лет";"Женский";"Высшее (бакалавриат)";"С семьей (с детьми до 18 лет)";"Город среднего размера (100 000–1 млн человек)";"Можем позволить себе одежду, но не можем позволить себе дорогие товары";"Никогда";"Редко";"Редко";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Согласен/согласна";"Да, если я буду часто ходить туда и мне понравится ассортимент";"Покупаю новые вещи редко, но когда покупаю, выбираю качественные товары, которые долго служат";"Я выбираю на основе логики и расчётов (даже если LED-лампочка дороже, я посчитаю экономию за годы)";"Почти никто (0–10%)";"Скорее да";"Нейтрально";"Нет инфраструктуры (баков для раздельного сбора в моем районе);Слишком дорого / нет денег;Это неудобно / нужно искать специальные магазины"
